author_id,conversation_id,created_at,id,in_reply_to_user_id,like_count,quote_count,reply_count,retweet_count,text
138297692,1413250613912219652,2021-07-08T21:55:31.000Z,1413255451660148739,750883122963685376,0,0,0,0,@LYSonjeada @AluraOnline oi me da curso
165871482,1412852906466844676,2021-07-07T19:22:25.000Z,1412854536339922948,52499387,1,0,0,0,@nilmoretto @RepublicaCdN @AluraOnline ME MANDA UM CURSO MULHER
794932603564552192,1412907814163525635,2021-07-07T23:03:32.000Z,1412910183332913153,1144082414622400512,4,0,2,0,@devscansados @AluraOnline hackathon
1247249512885817346,1412512820713996296,2021-07-06T20:44:34.000Z,1412512820713996296,"",0,0,0,3,"RT @AluraOnline: Em DevOps, a observabilidade é muito necessária para o desenvolvimento de projetos. ⚙

Mas afinal, por que ela é tão impor…"
1354904503770865667,1412852906466844676,2021-07-07T19:33:57.000Z,1412857437057597446,52499387,0,0,0,0,@nilmoretto @RepublicaCdN @AluraOnline aaaaaa eu amo!! &lt;33
50398353,1412522639130775555,2021-07-06T21:46:14.000Z,1412528339118694403,1566580880,1,0,1,0,@AluraOnline @rla4 @mauriciojr Meus segredos vazando... oh jesus
63215909,1412953698242793475,2021-07-09T02:39:25.000Z,1413326898671804422,63215909,1,0,0,0,"@j_a_o_v_c_t_r @AluraOnline Inclusive amanhã tem: multithread, skip locked e quarkus. :P"
117800394,1413282889672835072,2021-07-09T02:43:48.000Z,1413328001408905217,1085294900831289345,0,0,0,0,"@DevCapu @AluraOnline Se cuida Moreno, boa sorte o/"
3675980475,1413140886184030216,2021-07-08T14:20:16.000Z,1413140886184030216,"",0,0,0,1,RT @BicosVagas: Vaga remota para designer instrucional na @AluraOnline ! + Informações aqui: https://t.co/jNBAyuump4
1269010468179513351,1413282889672835072,2021-07-09T01:55:17.000Z,1413315790993035266,1085294900831289345,0,0,0,0,"@DevCapu @AluraOnline Meu TI favorito ❤ que venha novos desafios, que se inicie Felipe Shippuden"
1237034205030289409,1412522639130775555,2021-07-06T21:24:05.000Z,1412522766981607425,1566580880,1,0,1,0,@AluraOnline Quero 🤩
2531740230,1412907814163525635,2021-07-07T23:11:40.000Z,1412912226458083329,1144082414622400512,2,0,0,0,@devscansados @AluraOnline Ser programador
1251909062222020609,1411150431804395524,2021-07-03T02:30:55.000Z,1411150431804395524,"",0,0,0,10,"RT @fefealves: #100DaysOfCode #Day10
I finished my first course about C++ (it was an intro by @AluraOnline). To help me understand some con…"
142096296,1412093112818806789,2021-07-06T14:00:50.000Z,1412411216996311044,2207670209,0,0,1,0,@IrleyMba @AluraOnline Eu tenho a assinatura. Fiz o curso de lógica de programação lá e depois fiz através de um livro. Achei melhor o do livro 😅 pelo menos pra mim
1041676369,1412904589695897601,2021-07-07T22:41:19.000Z,1412904589695897601,"",0,0,0,5,RT @omariosouto: Obrigado @paulo_caelum e @AluraOnline  pela #ImersaoReact!
177671674,1412366210092634114,2021-07-06T11:01:59.000Z,1412366211556515845,177671674,0,0,1,0,"... original, caso desse treta.
Culpa das aulas de ontem da @AluraOnline, só pode"
1422087379,1412841221375025164,2021-07-07T18:29:31.000Z,1412841221375025164,1566580880,0,0,0,0,@AluraOnline bem que podia colocar um cursinho de elixir
1266908988127481862,1412163892432846850,2021-07-05T21:38:03.000Z,1412163892432846850,"",0,0,0,5,"RT @frontinsp: Já parou p/ pensar q o Next é o framework JavaScript mais popular do momento? 🤔
@omariosouto, da @AluraOnline, vai mostrar q…"
2159416258,1412947247805997056,2021-07-08T01:30:49.000Z,1412947247805997056,"",1,1,1,0,"A @AluraOnline tá perdendo muito em não fazer uma publicidade com a @pabllovittar, Profissional em T ia ser um hit sem tamanhoooooo!!!!"
1566580880,1412417567193452549,2021-07-06T14:26:04.000Z,1412417567193452549,"",15,0,0,3,"Em DevOps, a observabilidade é muito necessária para o desenvolvimento de projetos. ⚙

Mas afinal, por que ela é tão importante para a sua empresa? 

No https://t.co/4JJakKLPHL desta semana batemos um papo sensacional sobre o assunto. 😉

🔊 Confere lá! https://t.co/AHtVJFKlPZ https://t.co/UOZTA1RcDQ"
539586440,1413120684666998786,2021-07-08T15:38:19.000Z,1413160526549487621,135496567,3,0,1,0,"@gui_matheus1 @YouTube Estou ensinando o JavaScript para React mesmo, mas já aproveita que semana que vem começa a #ImersaoReact da @AluraOnline se inacreve no link a seguir: https://t.co/Bu5R64Rf9L"
64300207,1412862110674083843,2021-07-07T22:13:21.000Z,1412897552622620679,1290118641875333120,3,0,1,0,@ViUmaVaga @AluraOnline Eu só queria um plano mensal
1374606334725922816,1412491742608232460,2021-07-07T15:03:18.000Z,1412789326501527558,1566580880,4,0,2,1,@AluraOnline qual a probabilidade de vocês aceitarem minha contribuição para o projeto do curso de SASS no Github? :3 Eu criei a documentação do README e posteriormente penso em colocar screenshots do projeto final. Foi uma boa? https://t.co/r3jwdzlGAP ps: sou aluna de vocês
1267167028856659968,1411757188536848385,2021-07-04T22:34:23.000Z,1411815683357356033,1323958761053184000,0,0,0,0,@Saxofonistancap @AluraOnline é verdade isso?
1144082414622400512,1412907814163525635,2021-07-07T22:54:08.000Z,1412907814163525635,"",37,1,36,0,"O que é CRINGE pra vcs na nossa área? Conta ai pra gente que vamos criar um podcast

e tá tendo live da @AluraOnline agora aqui https://t.co/esFtAFIf7A"
3728996248,1412490913193021446,2021-07-07T14:50:34.000Z,1412786123655553028,1345893423337844737,1,0,2,0,@hofflaracnaa Vale @AluraOnline ?
2730663259,1412790292864962564,2021-07-07T15:07:08.000Z,1412790292864962564,1566580880,0,0,1,0,"@AluraOnline sabe o que seria interessante? Descontar o valor mensalmente, como a Netflix faz, ao invés de adquirir uma compra do valor total e ir parcelando. Exige um limite que às vezes, naquele mês, não temos."
52565610,1411047336466432003,2021-07-02T19:41:15.000Z,1411047336466432003,"",5,0,1,0,"A firma tá me pagando assinatura da @AluraOnline e eu tô fazendo a formação Front-end (HTML, CSS e JS). Minha esposa teve um dia merda e resolvi fazer um site pra lembrá-la do Qto ela é foda e TB para praticar o q tenho estudado no curso. + https://t.co/yKlwwVyN2f"
171758975,1411838565441589249,2021-07-05T00:05:19.000Z,1411838565441589249,"",0,0,0,5,"RT @tgcsantos: MaL Te CoNheÇo MaSS jÁ tE cOnSidErO pAkkkAs para indicar a Imersão React da @AluraOnline! 
Um evento gratuito para vc revisi…"
1364497572509880322,1411151797809471490,2021-07-03T02:36:21.000Z,1411151797809471490,"",0,0,0,10,"RT @fefealves: #100DaysOfCode #Day10
I finished my first course about C++ (it was an intro by @AluraOnline). To help me understand some con…"
1333753790336557060,1412907814163525635,2021-07-07T23:05:23.000Z,1412910645499072515,1144082414622400512,3,0,0,0,@devscansados @AluraOnline make IRC great again
